İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Yenimahalle , Ata,4,145,8,1,25750
 Mamak , Aşık Veysel,4,130,35,1,14000
 Çankaya , Emek,4,130,31,1,45000
 Yenimahalle , Kentkoop,4,110,25,5,25000
 Çankaya , Çiğdem,5,155,30,3,42000
 Çankaya , İşçi Blokları,4,164,17,5,40000
 Çankaya , Öveçler,5,170,15,3,22500
 Çankaya , Koru,4,110,25,8,41000
 Keçiören , Şehit Kubilay,4,145,10,2,19000
 Yenimahalle , Uğur Mumcu,4,120,28,3,20000
 Etimesgut , Topçu,4,110,15,3,18500
 Etimesgut , Alsancak,4,130,15,-1,15500
 Çankaya , Yücetepe,3,96,60,1,30000
 Çankaya , Harbiye,4,120,30,2,22000
 Çankaya , Karapınar,5,170,15,6,30000
 Çankaya , Emek,5,180,7,3,44000
 Çankaya , Nasuh Akar,4,120,22,3,25500
 Mamak , Araplar,3,154,0,4,15000
 Yenimahalle , Mehmet Akif Ersoy,4,110,25,8,26000
 Altındağ , Güneşevler,4,168,6,2,36000
 Çankaya , Birlik,5,145,20,1,28000
 Mamak , Durali Alıç,4,155,12,5,22000
 Çankaya , Yukarı Bahçelievler,4,110,40,1,33000
 Etimesgut , Yeni Bağlıca,4,159,10,1,27500
 Etimesgut , Yeni Bağlıca,4,159,10,1,27500
 Etimesgut , Oğuzlar,4,110,25,7,20000
 Çankaya , Beytepe,2,82,0,4,34950
 Çankaya , Küçükesat,4,110,50,1,21000
 Çankaya , Kızılırmak,5,180,23,2,40000
 Çankaya , Naci Çakır,4,140,25,2,25000
 Keçiören , Yakacık,4,110,32,1,13500
 Mamak , Peyami Safa,4,110,25,1,15500
 Çankaya , Oğuzlar,4,110,27,2,24000
 Keçiören , Kuşcağız,4,135,30,2,20000
 Çankaya , Naci Çakır,4,135,27,1,21500
 Keçiören , Aşağı Eğlence,4,105,25,0,19500
 Keçiören , Aşağı Eğlence,4,110,35,1,25500
 Yenimahalle , Demetevler,4,120,20,2,18000
 Etimesgut , 30 Ağustos,4,120,18,1,17250
