İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Yenimahalle , Demetgül Mah.,3,1,125,10,3,17000
 Yenimahalle , Kentkoop Mah.,4,1,165,24,5,30000
 Çankaya , Emek Mah.,2,1,95,6,-1,24500
 Çankaya , Keklik Pınarı Mah.,3,1,130,9,2,23000
 Çankaya , Ertuğrulgazi Mah.,2,1,80,30,-3,11000
 Yenimahalle , Demetlale Mah.,2,1,75,0,3,21000
 Çankaya , Çiğdem Mah.,3,1,145,15,1,40000
 Yenimahalle , Emniyet Mah.,3,1,100,25,2,24000
 Etimesgut , İstasyon Mah.,3,1,125,13,6,20000
 Yenimahalle , Batı Sitesi Mah.,3,1,160,25,2,25000
 Çankaya , Yaşamkent Mah.,1,1,50,0,0,19000
 Çankaya , Metin Akkuş Mah.,2,1,90,25,0,14000
 Çankaya , Ayrancı Mah.,1,1,75,19,8,32000
 Çankaya , Ehlibeyt Mah.,6,1,300,18,4,40000
 Çankaya , Murat Mah.,3,1,100,35,1,17000
 Çankaya , Murat Mah.,3,1,100,35,1,17000
 Mamak , Cengizhan Mah.,3,1,135,12,5,18000
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,120,27,3,22000
 Çankaya , Zafertepe Mah.,2,1,100,25,2,18000
 Etimesgut , Göksu Mah.,4,1,150,8,1,37000
 Etimesgut , Ayyıldız Mah.,3,1,115,25,4,18000
 Çankaya , Kazım Özalp Mah.,1,1,58,0,1,40000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,120,20,5,35000
 Yenimahalle , Demetevler Mah.,3,1,120,35,3,16500
 Yenimahalle , Gazi Mah.,3,1,120,10,0,20500
 Keçiören , Adnan Menderes Mah.,3,1,135,19,2,25000
 Yenimahalle , Emniyet Mah.,2,1,75,30,1,19000
 Yenimahalle , Gazi Mah.,3,1,180,0,3,40000
 Mamak , Abidinpaşa Mah.,3,1,100,35,1,15000
